책 이름,작가,장르,ISBN,책 소개,,
아이패드로 돈 버는 이모티콘 만들기,진선호(써노),"국내도서
 > 
컴퓨터/IT
 > 
모바일프로그래밍
 > 
모바일프로그래밍일반",9.789E+12,"아이패드와 클립스튜디오로, 승인 이모티콘 만들기
직장생활을 하며 취미로 이모티콘을 그려온 써노 작가. 1년 동안 미승인만 받았다. 열 번의 미승인을 받고 그 이유를 분석하고 난 후, 다음해 1년 동안은 제안한 10개의 이모티콘을 모두 승인받았다. 〈하자하자! 하자토끼〉 〈숲 속의 귀요미 람찌〉 〈여보랑 톡톡! 댕댕부부 아내 ver.〉 〈여보랑 톡톡! 댕댕부부 남편 ver.〉 〈트롯킹 : 멋진 인생〉등 다 아이패드만으로 가능했다! 애플 펜슬의 출시와 함께 훌륭한 드로잉 도구로서 각광 받고 있는 아이패드. 움직이는 이모티콘 제작의 대부분을 이 아이패드와 클립스튜디오만으로 해결할 수 있다. 이제 이모티콘도 카페에서, 학교에서, 집에서 만들 수 있게 된 것이다. 이모티콘 작가를 직업으로 삼고 싶은 사람들과 부업으로 삼고 싶은 사람들이라면 이 책으로 그 목표에 더 쉽게 다가갈 수 있을 것이다. 이 책은 카카오 이모티콘 승인 노하우, 아이패드와 클립스튜디오로 움직이는 이모티콘 만들기 노하우가 이해하기 쉽게 친절하게 담겨 있다. 〈이론〉 〈실전〉 〈따라해보자!〉의 3부로 구성되어 있다.",,
스윗한 SwiftUI,이봉원,"국내도서
 > 
컴퓨터/IT
 > 
모바일프로그래밍
 > 
모바일프로그래밍일반",9.79119E+12,"더 우수한 앱을 더 적은 코드로!SwiftUI를 활용한 스마트한 iOS 앱 개발 길라잡이
애플이 UIKit를 지원하기 시작한 지 11년, 그리고 Swift를 발표한 지 5년 만에 드디어 Swift를 기반으로 처음부터 완전히 새로 설계한 UI 프레임워크가 탄생했다. 이 책은 애플이 오랜 시간 준비하여 야심차게 내놓은 차세대 UI 프레임워크인 SwiftUI의 핵심 특성과 개념에 대해 쉽고 빠르게 접근하도록 도와주는 길잡이 역할을 한다. 여러 예제와 설명을 통해 단계별로 기본 개념을 먼저 익히고, 앱을 점점 발전시켜 나가면서 배운 내용이 실제로 어떻게 활용될 수 있는지 하나씩 체득해보자. 실전에서도 바로 쓸 수 있는 다양한 내용을 담아 활용도를 높였다. 책을 마치는 순간에는 SwiftUI와 UIKit 모두를 활용해 자신만의 애플리케이션을 만드는데 필요한 기술을 얻게 될 것이다.이 책의 특징- 기본 개념을 이해하고, 바로 앱에 적용해보며 빠르게 실전 감각을 익힐 수 있다.- 이미 친숙한 UIKit을 함께 비교하고 설명하여 SwiftUI의 특징을 효과적으로 이해할 수 있다.- SwiftUI의 핵심 기능들을 다양한 예제와 이미지를 통해 배울 수 있다.이 책이 필요한 독자- 애플의 차세대 UI 프레임워크를 빠르게 경험하고 싶은 분- 다양한 예제와 실전 애플리케이션 구축을 통해 배우고 싶은 분- SwiftUI의 선언형 구문에 친숙해지고 싶은 분독자대상초중급소스코드 다운로드https://github.com/bjpublic/SweetSwiftUIExamples",,
엔터프라이즈 노 코드 프로그램 개발 실습 1: 기본편,남궁민,"국내도서
 > 
컴퓨터/IT
 > 
모바일프로그래밍
 > 
모바일프로그래밍일반",9.79117E+12,"아이디어만 있으면 누구나 쉽게 개발할 수 있는노 코드 프로그래밍의 이론과 실제비즈니스 민첩성을 확보하기 위한쉽고 빠른 개발 플랫폼, WEMWEM 노 코드 플랫폼의 기초 학습부터어플리케이션 개발 실습까지!컴퓨터 프로그래밍 언어는 C와 Cobol 등에서 Java, C++, Python 등으로 발전해왔다. 프로그램 개발을 하려면 이러한 프로그래밍 언어를 익혀야 했다. 하지만 이것도 어느덧 옛말이 되었다. 노 코드 플랫폼이 등장하면서 개발자는 로직만 작성하고, 코드를 생성하는 것은 시스템이 백그라운드에서 수행할 수 있도록 개발 환경이 진화했다.WEM은 시각화 기반 노 코드 플랫폼으로, Drag & Drop 등을 통해 직관적인 개발을 가능하게 한다. 이로써 모바일 환경이 생활 속에 깊숙이 들어온 이 디지털 전환 시대에 누구나 쉽게 어플리케이션 개발에 접근할 수 있게 되었다. 이는 개발 생산성을 획기적으로 높이고, 클라이언트의 요구에 보다 민첩하게 대응할 수 있도록 한다.이 책에서는 WEM 노 코드 플랫폼의 기초를 배우고 기본 단계의 어플리케이션 개발 실습을 진행한다. 이어지는 『2. 중급편』에서는 보다 복잡한 개발 예제들을 연습한다. 이제 누구나 개발에 참여할 수 있는 시대, 국내에서 WEM 노 코드 프로그래밍의 권위자로 통하는 저자들의 안내를 따라 책 속으로 함께 들어가보자.",,
젯팩 컴포즈로 개발하는 안드로이드 UI,토마스 쿠네스,"국내도서
 > 
컴퓨터/IT
 > 
모바일프로그래밍
 > 
안드로이드",9.79116E+12,"젯팩 컴포즈는 안드로이드 UI 개발의 새로운 패러다임이다. 이 책은 젯팩 컴포즈를 통해 안드로이드 애플리케이션을 개발할 수 있도록 도와줄 것이다. 젯팩 컴포즈로 안드로이드를 처음 개발해보는 개발자는 물론이고, 기존에 개발한 안드로이드 애플리케이션에 젯팩 컴포즈를 적용하고자 하는 개발자에게도 유익하다.",,
GPT-4를 활용한 인공지능 앱 개발,올리비에 케일린,"국내도서
 > 
컴퓨터/IT
 > 
모바일프로그래밍
 > 
모바일프로그래밍일반",9.79117E+12,"AI 전문 지식 없이 코드 몇 줄로 만들어보는 LLM 기반 앱
GPT-1부터 GPT-4 터보에 이르기까지, 언어 모델은 놀랍게 진화하고 있다. 이 책에서는 LLM의 흥미로운 역사와 핵심 요소를 짚어보고 간단한 코드로 파이썬 앱을 만들어본다. 오픈AI API와 임베딩, 모더레이션 모델, 위스퍼와 DALL·E 등 다양한 기능을 함께 살펴보며 모건 스탠리와 듀오링고 같은 사례를 통해 GPT 모델이 실제 비즈니스 환경에 어떻게 창의성을 불어넣고 있는지 알아본다.실습으로 뉴스 기사 생성, 유튜브 동영상 요약, 닌텐도 게임 〈젤다의 전설〉 질의응답 봇 구축 등 흥미로운 프로젝트를 진행하며 직접 LLM 기반 앱을 구축해본다. 이 과정에서 보안과 데이터 개인 정보에 대한 고려 사항뿐 아니라 프롬프트 엔지니어링, 파인 튜닝, 랭체인 등 고급 주제를 폭넓게 다룬다.",,
UI 시스템 블랙북,박춘언,"국내도서
 > 
컴퓨터/IT
 > 
웹사이트
 > 
UX/UI",9.78897E+12,"UI 시스템 내부를 들여다보는 최초의 가이드북
《UI 시스템 블랙북》은 UI 시스템, 그중에서도 그래픽과 관련된 핵심 이론과 구현 원리를 설명한다. 이 책은 UI 시스템 각각의 요소가 어떤 이론과 기술을 바탕으로 하고 있는지, 어떤 과정을 거쳐 화면에 출력되는지, 각각의 UI 요소들이 어떻게 맞물려 돌아가는지, 어떻게 해야 앱이 느려지지 않게 하면서 화면을 최대한 미려하게 만들 것인지 등을 시스템 설계의 측면부터 살펴본다. UI 시스템이 제공해야 하는 기능과 해당 기능을 지원하기 위한 기술을 예제 코드와 함께 자세히 설명한다. 이를 통해 프로그래밍과 관련 이론에 대한 이해가 깊어지고, 실무에서 마주칠 수 있는 다양한 이슈를 간접 경험해 볼 수 있다.",,
진짜 쓰는 실무 엑셀,오빠두(전진권),"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79119E+12,"대기업 직장 생활 10년의 실무 노하우와 엑셀 유튜브 채널을 운영하면서 들은 수많은 직장인의 고민을 해결할 수 있는 다양한 엑셀 비법을 담았다. ‘진짜 쓰는 실무 엑셀’ 한 권이면 빠른 일 처리로 워라밸을 실현하고, 일잘러로 거듭날 수 있다! 오랜 시간 엑셀은 수많은 발전을 거듭하였고, Office 365에서 Microsoft 365로 브랜드명을 변경하기까지 다양한 기능, 특히 동적 배열 함수가 추가되면서 매크로를 사용하지 않고도 많은 부분을 해결할 수 있도록 개선되었다. 이 책에서 소개하는 제대로 된 실무 활용 기능을 익힌다면 방대한 데이터에서 특정 자료를 취합하고 분석하기, 분석된 자료를 한눈에 보기 좋게 시각화하기, 반복되는 작업을 효율적으로 개선하기 등 회사에서 원하는 엑셀 사용 능력을 충분히 뛰어넘을 수 있을 것이다.",,
회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희),"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79113E+12,"‘탈잉’ 1위 엑셀 클래스의 수업 내용을 한 권에 담다!대기업 인사 담당자들이 Pick한 엑셀 전문가 쏘피1초도 낭비하지 않는, 진짜 실무에 필요한 엑셀 스킬!
-MS Office 2021 최신 기능 반영! -실습용 자료 무료 제공! (QR코드 다운로드)-맥북 유저를 위한 단축키&활용법 추가![이런 사람은 반드시 이 책이 필요하다!]ㆍ 인턴십이나 입사를 앞두고 엑셀이 걱정되는 분ㆍ 직무, 부서 이동으로 엑셀이 갑자기 필요해진 분ㆍ 경력자라 주위에 엑셀을 물어보기 부끄러운 분ㆍ 엑셀을 그저 칸 쳐진 모눈종이로만 쓰시는 분",,
나의 첫 노션(Notion) 마스터북,이유미,"국내도서
 > 
컴퓨터/IT
 > 
전산통계/해석
 > 
자료분석/빅데이터",9.79116E+12,"노션AI를 개인 비서로 활용, 취업·이직을 위한 포트폴리오 제작, 데이터베이스 정복, 비대면 협업·프로젝트 관리까지 하루 10분, 4주 만에 노션 마스터하기!
원하는 것을 꾸준히 성취해가는 사람들에게는 공통점이 있다. 인생에 날개를 달아주는 갓생 습관 시스템과 생산성 도구를 효율적으로 활용한다는 것이다. 노션 공식 앰버서더이자 노션 템플릿 크리에이터인 저자는 몇 년 전만 해도 ‘글쓰기는 손맛이지’를 외치며 다이어리 꾸미기에 열중한 아날로그 세대였다. 하지만 우연히 디지털 도구인 노션을 접한 후 삶의 질과 업무 효율이 몇 배로 늘면서 원하는 커리어만 알차게 쌓아가는 프로N잡러이자 디지털 노마드가 되었다. 이 책은 매년 2,000명이 넘는 온·오프라인 수강생들이 강의 수강 후 제출하는 후기를 바탕으로 저자가 하루 10분, 4주 만에 빠르게 완성할 수 있도록 구성하였다. 취업·이직을 위한 포트폴리오 제작, 데이터베이스 완전정복, 비대면 협업 및 프로젝트 관리뿐만 아니라 최근 글로벌 이슈인 노션 AI를 개인 비서로 활용하는 법 및 고급 노션 스킬들까지 소개하여 매일매일 성공하는 삶의 시스템을 구축하도록 돕는다. 〈포천〉 글로벌 500대 기업의 50%, 〈포브스〉 선정 100대 클라우드 스타트업의 100%, 카카오스타일, LG AI연구원, 당근마켓, 쏘카, GS가 업무에 적극 활용하는 노션. 일상 자체가 성장이자 성취인 경험을 했다고 말하는 기록학자 김익한 교수, 노션 공식 컨설턴트 전시진 대표가 추천하는 이 책을 차근차근 따라 하다 보면 어느새 노션 마스터가 된 자신을 발견하게 될 것이다.",,
보고 혁명: 현직 팀장들이 검증하는 실무 보고서 작성법,이성윤,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
오피스
 > 
OA관련서",9.79117E+12,"삼성·구글·네이버·무신사 등 국내외 최고 기업 팀장 20명이 말하는 보고 인사이트 총정리!검토·제안·결과·회의 요약 보고서 등 어떤 업무 상황에도 적용할 수 있는 보고서 작성 공식 제공!
“보고 능력 없이는 인정도, 승진도, 워라밸도 없다!”이 책은 직장인의 더 나은 보고서 작성을 도와주고 워라밸을 보장하는 책이다. 세상이 복잡해지고 다양해짐에 따라 기업은 과거와 비교할 수 없을 정도로 많은 ‘의사결정’을 내려야 한다. 이때 ‘보고’는 조직의 제한된 리소스를 활용해 최상의 의사결정을 돕는 역할을 한다. ‘보고’는 기업의 의사결정을 이끄는 가장 중요한 핵심 요소다. 따라서 보고를 잘하면 능력을 인정받는 일잘러가 될 수 있고, 업무를 빨리 처리해 워라밸까지 확보할 수 있다.“이렇게 중요한 보고, 제대로 배워야 한다!”이 책은 어디에서도 볼 수 없었던 국내외 최고 기업 팀장 20명을 대상으로 한 설문조사와 인터뷰 콘텐츠를 제공한다. 저자 개인의 의견만으로 책이 구성된 게 아니라 일잘러 팀장 20명의 보고 인사이트까지 제대로 반영했다. 따라서 이 책의 독자는 실무에서 어떤 팀장을 만나도 한 번에 통과되는 보고서를 쓸 수 있게 될 것이다.보고서 작성의 핵심은 저자가 구조화한 ‘보고 공식 B2WHEN’을 활용하는 것이다. 이 보고 공식을 활용한 6가지 보고 유형별 보고서 작성법을 익히면서 팀장이 원하는, 반려당하지 않는 보고서를 작성해본다. ‘보고는 무조건 3SAMRT하게!’라는 저자의 보고 원칙과 ‘보고 공식 B2WHEN’을 바탕으로, 어떤 업무 상황에도 적용할 수 있는 보고서 작성법을 내 것으로 만들 수 있다.",,
실무에 바로 쓰는 일잘러의 보고서 작성법,김마라,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
오피스
 > 
OA관련서",9.79119E+12,"『실무에 바로 쓰는 일잘러의 보고서 작성법』은 회사에서 문서로 커뮤니케이션 하는 방법을 현업 기획자가 사수처럼 상세하게 알려준다. 기획서, 제안서, 보고서 같은 문서의 목적을 파악해 내용을 쉽게 구성하는 방법을 알려준다.",,
"엑셀마왕의 엑셀 이럴 땐, 이렇게!",엑셀마왕(임규범),"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79114E+12,"인스타그램 대표 엑셀 크리에이터!엑셀마왕이 알려주는 실무 엑셀 상황별 문제 해결법!
실무 엑셀을 마스터하고 싶지 않나요? 빠르게 그리고 한 번에 처리할 수 있을 것 같은데 구체적인 방법을 몰라서 방황하지 않았나요? 인스타그램 420K 팔로워를 보유한 엑셀마왕이 실무 엑셀에서 발생할 수 있는 문제 상황별 해결법을 알려줍니다. ‘이럴 땐, 어떻게 하지?’라며 답답해했던 당신의 엑셀을 위한 맞춤 솔루션을 제공합니다.",,
엑셀X파이썬,정성일,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79114E+12,"엑셀이 파이썬을 품었다
MS 365 엑셀에 파이썬을 통합하는 강력한 기능이 업데이트되었다. 이제 엑셀의 셀에 ‘=PY’ 함수를 입력하면 파이썬 코드를 직접 실행할 수 있다. 별도의 라이브러리 설치 없이 복잡한 차트 생성과 데이터 분석을 엑셀에서 손쉽게 수행할 수 있다. 이 책은 엑셀에서 파이썬을 사용하는 기본적인 방법부터 다양한 파이썬 라이브러리를 활용하여 주식 시세 분석, 알고리즘 구현 등 주요 데이터 분석 및 시각화 라이브러리를 제대로 활용하는 방법을 소개한다. 엑셀과 파이썬의 조합으로 빅데이터 시대에 걸맞는 데이터 분석 경쟁력을 한층 더 강화할 수 있을 것이다.엑셀에서 파이썬을!파이썬 코드를 엑셀 함수처럼!엑셀이 파이썬을 품었다. MS 365 엑셀의 업데이트로 엑셀 시트에서 직접 데이터를 선택하여 셀에 파이썬 코드를 입력하면 결과를 바로 확인할 수 있습니다. 이제 엑셀에서 파이썬을 엑셀 함수처럼 사용해 보세요. 라이브러리를 추가로 설치하거나 충돌을 걱정할 필요도 없습니다. 엑셀 파이썬을 활용하면 주식 시세 데이터를 이동 평균선 등으로 시각화하거나 데이터 분석 알고리즘을 사용해 가상 매매 프로그램을 만들어 수익률을 검증하고 투자 전략을 보완할 수 있습니다. 의사결정나무, 이상 탐지 등 검증된 파이썬 라이브러리로 알고리즘을 간단하게 구현할 수 있습니다.",,
회사에서 바로 통하는 실무 엑셀 파워포인트 워드한글,전미진,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79116E+12,"실무에 바로 써먹을 수 있는 엑셀, 파워포인트, 워드, 한글의 핵심기능을 우선순위별로 쉽고 빠르게 익힌다!회사에서 바로 쓰는 500여 개 실무 문서로 어떤 업무든 능숙하게 해결한다!
실무에 꼭 필요한 엑셀, 파워포인트, 워드, 한글을 한 권으로 쉽고 빠르게 익힌다. 각 프로그램별로 실무에서 가장 많이 쓰는 우선순위 핵심기능을 선별해 당장 필요한 기능부터 익히면서 실무에 바로 적용할 수 있도록 구성했다. 회사에서 바로 통하는 500여 개 실무 템플릿 예제로 오피스 프로그램의 기초부터 실무활용 능력까지 단숨에 마스터할 수 있다.엑셀 PART에서는 실무 엑셀 문서로 효율적인 업무 방법을 학습하고, 파워포인트 PART에서는 청중을 사로잡는 슬라이드 제작 방법과 발표 노하우를 배운다. 워드 PART와 한글 PART에서는 실무를 비롯해 언제 어디서나 바로 써먹을 수 있는 완성도 높은 문서 작성/편집 기술을 익힌다. 엑셀로 빠르게 업무를 처리해 업무 효율을 높이고 워라밸을 챙기고 싶은 사람, 파워포인트로 슬라이드 작성과 프레젠테이션 능력을 보여주고 싶은 사람, 워드와 한글로 문서 작성과 편집을 막힘없이 해내고 싶은 사람에게 꼭 필요한 현장밀착형 입문서로 한번에 제대로 배워서 뛰어난 실무 능력과 경쟁력을 확보해보자.",,
뇌를 쓰지 않는 만만한 PPT,제이(홍정인),"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
파워포인트
 > 
파워포인트일반",9.79117E+12,"“PPT를 만들 때는절대 뇌를 쓰지 않아야 합니다!”PPT 디자인 강의 1위 튜터가 알려주는뇌를 쓰지 않고 만드는 보고서, 제안서, 기획서 PPT 공식
PPT 제작 단계는 ‘기획, 제작, 발표’로 나뉜다. PPT 구성에 대한 생각은 ‘기획’ 단계에서 마치고, ‘제작’ 단계에서는 마우스를 움직이며 손만 써야 한다. PPT를 만들 때 뇌를 쓰지 않는다는 말은, 이처럼 힘을 줘야 하는 부분과 빠르게 넘겨야 하는 부분을 구분하여 똑똑하게 일해야 함을 의미한다. 아무리 잘 만든 PPT라 하더라도 일주일 넘게 걸려 만든 문서라면 해당 문서의 가치는 떨어진다. 일을 할 때는 우리가 가진 한정된 자원, 시간, 노력, 영감을 전략적으로 사용해 최대 아웃풋을 끌어낼 수 있도록 효율적으로 움직여야 한다. 이것이 바로 PPT 공식을 배워야 하는 이유이다.이 책은 결과물이 한눈에 들어오면서도 상대방을 설득할 수 있는 PPT를 최단 시간에 만드는 방법을 알려준다. 자신이 원하는 바를 논리적으로 설명하여 상대방으로부터 얻어내는 것이 PPT의 본질이다. 이를 달성하기 위해 저자가 수년간 현업에서 익힌 효율적인 PPT 기획 방법부터 오랜 강의를 거치며 갈고닦은 PPT 제작 스킬, 실전에서 200% 활용 가능한 PPT 디자인 꿀팁까지 이 책 한 권에 아낌없이 모두 모아놓았다. 더불어 신입 사원도 쉽게 따라 하는 챗GPT 자동화 필살기까지 알차게 소개한다. 지금부터 차근차근 책장을 넘기며 PPT를 따라 만들어보자. 하나하나 실습을 하다 보면 어느덧 뇌를 쓰지 않고 PPT를 뚝딱 만드는 일잘러로 거듭나있을 것이다.",,
2025 이기적 워드프로세서 필기 최신문제집,김옥남,"국내도서
 > 
컴퓨터/IT
 > 
자격증/수험서
 > 
사무자동화
 > 
워드프로세서",9.78893E+12,"본 도서는 최신 기출문제 풀이로 시험의 출제 경향을 파악하고 실전 감각을 극대화시켜 워드프로세서 필기 시험의 단기 합격이 가능하도록 집필된 교재입니다. 학습 효율을 높이기 위해 ‘핵심이론+최신 기출문제’로 교재를 구성하여, 단기간에 집중적으로 시험 대비가 가능하도록 하였습니다. 또한 교재만 구매하면 저자가 직접 강의하는 고퀄리티 동영상 강의를 전강 무료로 시청할 수 있습니다. 핵심이론을 통해 시험에 나오는 중요 내용만을 쉽고 빠르게 정리할 수 있으며, 자주 출제되는 기출문제 110선을 통해 빈출 문제를 확실히 정복할 수 있습니다. 이론 학습 후에는 2022~2024년 최신 기출문제 총 15회분 풀이로 최신 출제 유형을 파악하고 실전에 완벽하게 대비할 수 있습니다.",,
엑셀 매크로&VBA 바이블,최준선,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀매크로/VBA",9.79117E+12,"엑셀 매크로&VBA의 기초부터 업무 적용까지 실무에 꼭 맞는 매크로 코드로 업무를 자동화한다!네이버 엑셀 대표 카페 ‘엑셀..하루에 하나씩’의 최준선이 제안하는 엑셀 매크로&VBA의 거의 모든 것!
엑셀 2010, 2013, 2016, 2019, 2021, Microsoft 365 등 모든 버전에서 엑셀 매크로와 VBA의 기본 기능부터 주요 기능, 실제 업무에 활용할 수 있는 코드까지 체계적으로 학습할 수 있다. 버전별로 차이가 나는 내용은 상세한 사용 팁과 함께 사용 가능한 엑셀 버전을 표시하여 어떤 버전을 사용하든 막힘없이 매크로와 VBA 예제를 실습할 수 있게 구성했다. 매크로 기초 문법과 엑셀의 주요 개체, 자주 사용하는 기능 컨트롤 등 업무에 적용할 수 있는 내용으로 꼼꼼하게 목차를 구성하였으며 실무 기능을 찾기 쉽게 표시했다. 뿐만 아니라 수식 및 함수 도움말 등을 곳곳에 배치해 낯선 기능과 용어도 한번에 이해할 수 있다. ChatGPT 등의 AI를 활용한 매크로&VBA 학습법까지 익히고 나면 엑셀 업무 자동화 프로그래밍의 거의 모든 것을 학습할 수 있을 것이다. 학습하다 어려운 부분은 네이버 엑셀 대표 카페 〈엑셀..하루에 하나씩〉과 유튜브 채널 〈엑셀 마스터〉를 방문하여 저자의 도움을 받아 해결할 수 있다.",,
2025 이기적 ITQ 엑셀 ver.2021,영진정보연구소,"국내도서
 > 
컴퓨터/IT
 > 
자격증/수험서
 > 
사무자동화
 > 
ITQ",9.78893E+12,"본 도서는 최신 출제기준인 엑셀 ver.2021을 적용한 도서로, ITQ 시험 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서이다. 시험 유형 따라하기로 기초 실력을 향상시킬 수 있게 작성되었으며, 최신 기출문제 10회와 실전 모의고사 10회로 실전에 철저하게 대비할 수 있다. 또한 홈페이지에서 제공되는 강의 영상으로 완벽한 독학을 돕고 있으며, 자동 채점 서비스는 별도의 설치 없이 온라인 접속을 통해 제공되어 쉽게 본인의 실력을 확인해 볼 수 있다.",,
된다! 7일 실무 엑셀,한정희,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79116E+12,"일주일이면 기초 떼고 VLOOKUP, 피벗 테이블까지!조회수 300만! ‘짤막한 강좌’ 한쌤의 특별 과외구독자들의 감동과 감사 댓글이 가득한 유튜브 채널 ‘짤막한 강좌’ 한정희 선생님이 드디어 책을 냈다. 《된다! 7일 실무 엑셀》은 바쁜 직장인을 위해 단 7일 만에 엑셀을 배울 수 있게 구성했다. 1일, 2일 차엔 지출 기안서와 같은 양식을 만들며 엑셀 기본을 익힌다. 3일, 4일 차엔 엑셀의 꽃, 수식과 함수를 배운다. 특히 실무에서 가장 많이 사용하는 IF 함수와 VLOOKUP 함수를 완벽 정복한다. 5일~7일 차에는 데이터를 요약하고 시각화하는 방법, 그리고 엑셀의 끝판왕이라 할 수 있는 피벗 테이블까지 배운다. 시간을 조금 더 할애해 차근차근 엑셀을 익히고 싶은 사람을 위해 16일 코스도 준비했다. 글로 읽고 따라 하는 게 어렵다면, 책에 삽입된 QR 코드를 스캔하고 동영상 강의를 시청하자. 조회수 300만 인기 강좌를 무료로 들을 수 있다.",,
직장인을 위한 실무 엑셀,선양미,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
엑셀
 > 
엑셀일반",9.79114E+12,엑셀(2021/2019/2016/2013/Microsoft 365) 모든 버전 사용 가능: 엑셀 ‘2021’ 최신 버전 반영▷누구보다 빠르게!_업무 시간 단축 스킬 및 엑셀 전문가의 팁 대공개▷정확한 분석과 보고!_데이터 관리와 분석 및 비주얼 보고서 작성 노하우 총망라▷문제 해결은 단숨에!_현장 실무 프로젝트로 상황별 솔루션 제시,,
할 수 있다! 한글 2020 기초,김현정,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
한글",9.79114E+12,"초보자를 위한 ‘찐’ 한글 입문서  한글 2020을 기준으로 문서 작성법을 쉽게 배울 수 있는 입문서입니다. 초대장 만들기, 앨범 만들기, 플래너 만들기, 네임텍 만들기 등 실생활에 활용할 수 있는 문서를 만들어 보면서 한글 2020의 기능을 익힐 수 있도록 구성하였습니다. 단계별로 상세하게 설명하고 있어 초보자들이 쉽게 따라 할 수 있습니다.",,
된다! 실무 엑셀 파워포인트 워드&한글,한정희,"국내도서
 > 
컴퓨터/IT
 > 
OA/사무자동화
 > 
오피스종합",9.79116E+12,"진짜 실무자를 위한 군더더기 없는 오피스 프로그램 입문서!책과 함께 배우는 무료 동영상 강의 256개! 유튜브 ‘짤막한 강좌’의 20년 강의 노하우가 그대로 들어 있습니다!
직장에서 인정받고 싶은 사람을 위한 오피스 프로그램 책이 나왔다! 대학은 물론 기업과 관공서 등 실무 강의 경력 20년의 ‘짤막한 강좌’ 한정희 선생님과 IT 교육 전문 업체 이한아이티 공동 대표 이충욱 선생님의 강의 노하우를 담은 《된다! 실무 엑셀 파워포인트 워드&한글》! 이 책 한 번만 읽어도 직장에서 인정받는다! 또한 완전 초보자를 위해 ‘동영상 강의 256개’를 새로 준비했다. 실습마다 QR코드를 스캔하면 동영상 강의가 자동으로 연결된다. 책으로 공부해도 충분하지만, 동영상 강의가 필요한 독자를 위한 세심한 배려가 돋보인다.‘엑셀 편’에서는 데이터 정리는 물론, 견적서 만드는 방법, 수식과 함수 사용법, 피벗 테이블 만들기, 차트 만들기까지 배울 수 있다. ‘파워포인트 편’에서는 슬라이드의 기본 사용법부터 그림 삽입하고 꾸미기, 그래프 만들기, 엑셀과 연동하는 내용까지 담았다. ‘워드&한글 편’에서는 보고서 만들기에서 알아야 할 스타일 설정부터 인쇄하는 방법까지 다룬다. 한 번 배울 때 제대로 배워야 하는 법! 실무 경험이 없다면 실제 업무에서 오피스 프로그램을 어떻게 활용하는지 배우는 시간이 될 것이며, 지금 실무를 하고 있다면 기본기를 더 탄탄하게 익힐 수 있을 것이다.",,
